ID	County	State	X2020.05.05	X2020.05.04	X2020.05.03	X2020.05.02	X2020.05.01	X2020.04.30	X2020.04.29	X2020.04.28	X2020.04.27	X2020.04.26	X2020.04.25	X2020.04.24	X2020.04.23	X2020.04.22	X2020.04.21	X2020.04.20	X2020.04.19	X2020.04.18	X2020.04.17	X2020.04.16	X2020.04.15	X2020.04.14	X2020.04.13	X2020.04.12	X2020.04.11
1001	Autauga	Alabama	3	3	3	3	3	3	3	3	3	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1
1003	Baldwin	Alabama	5	4	4	4	4	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1
1005	Barbour	Alabama	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1007	Bibb	Alabama	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1009	Blount	Alabama	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1011	Bullock	Alabama	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1013	Butler	Alabama	2	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1015	Calhoun	Alabama	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	1	0	0	0	0	0
1017	Chambers	Alabama	21	21	21	21	21	21	21	19	18	18	18	17	16	16	16	13	13	11	11	11	10	10	8	8	8
1019	Cherokee	Alabama	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1021	Chilton	Alabama	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
1023	Choctaw	Alabama	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1025	Clarke	Alabama	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
1027	Clay	Alabama	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
1029	Cleburne	Alabama	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
1031	Coffee	Alabama	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1033	Colbert	Alabama	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1
1035	Conecuh	Alabama	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1037	Coosa	Alabama	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
1039	Covington	Alabama	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1041	Crenshaw	Alabama	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1043	Cullman	Alabama	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1045	Dale	Alabama	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1047	Dallas	Alabama	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0
1049	DeKalb	Alabama	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	0	0	0	0	0
1051	Elmore	Alabama	3	3	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0
1053	Escambia	Alabama	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
1055	Etowah	Alabama	10	10	10	10	10	9	8	8	8	8	8	8	8	8	8	7	7	7	7	7	7	7	7	7	7
1057	Fayette	Alabama	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1059	Franklin	Alabama	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1061	Geneva	Alabama	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1063	Greene	Alabama	2	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1065	Hale	Alabama	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
1067	Henry	Alabama	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1069	Houston	Alabama	4	4	4	4	4	4	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	1	1	1
1071	Jackson	Alabama	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
1073	Jefferson	Alabama	49	48	48	48	48	46	44	41	36	33	33	33	31	31	26	26	25	25	24	22	17	16	15	15	15
1075	Lamar	Alabama	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1077	Lauderdale	Alabama	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
1079	Lawrence	Alabama	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1081	Lee	Alabama	28	28	28	28	28	28	28	25	24	24	23	22	20	20	19	15	14	14	13	12	12	11	9	8	8
1083	Limestone	Alabama	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1085	Lowndes	Alabama	3	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
1087	Macon	Alabama	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1
1089	Madison	Alabama	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3	3	3
1091	Marengo	Alabama	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	1	1	1	1	1	1	1	1	1
1093	Marion	Alabama	7	6	6	6	6	6	6	6	6	5	5	5	5	5	5	5	5	5	5	4	4	4	4	3	3
1095	Marshall	Alabama	8	7	7	7	7	6	6	6	5	5	5	4	4	4	4	3	3	3	3	2	2	2	2	2	2
1097	Mobile	Alabama	71	66	62	61	61	55	53	46	43	41	40	40	38	38	38	33	29	25	25	23	19	17	17	15	15
1099	Monroe	Alabama	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
1101	Montgomery	Alabama	8	8	7	6	6	6	6	5	5	4	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3
1103	Morgan	Alabama	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1105	Perry	Alabama	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1107	Pickens	Alabama	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
1109	Pike	Alabama	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1111	Randolph	Alabama	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	3	3	3	3	3
1113	Russell	Alabama	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1115	St.Clair	Alabama	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1117	Shelby	Alabama	13	13	13	13	13	12	11	10	9	9	8	7	7	7	6	6	6	6	6	6	6	6	5	5	5
1119	Sumter	Alabama	3	3	3	3	3	2	2	2	2	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
1121	Talladega	Alabama	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	0	0
1123	Tallapoosa	Alabama	22	19	18	18	18	18	18	17	17	17	17	17	16	16	14	12	12	11	9	7	7	7	7	4	4
1125	Tuscaloosa	Alabama	3	2	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1127	Walker	Alabama	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1129	Washington	Alabama	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1131	Wilcox	Alabama	4	4	3	3	3	2	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1133	Winston	Alabama	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4001	Apache	Arizona	7	6	6	6	6	6	5	5	5	5	5	5	5	5	5	4	4	4	4	4	4	4	3	3	3
4003	Cochise	Arizona	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4005	Coconino	Arizona	46	44	44	44	44	42	42	42	40	40	40	36	35	35	35	30	30	29	29	26	24	22	21	21	15
4007	Gila	Arizona	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4009	Graham	Arizona	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4011	Greenlee	Arizona	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4012	LaPaz	Arizona	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
4013	Maricopa	Arizona	175	168	168	159	147	145	140	137	122	122	121	120	115	97	84	75	75	70	69	64	60	54	52	48	47
4015	Mohave	Arizona	16	15	15	15	13	10	7	4	4	4	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2
4017	Navajo	Arizona	26	22	22	22	21	21	18	18	18	18	18	18	13	12	11	11	11	11	11	11	10	9	8	8	7
4019	Pima	Arizona	105	89	89	89	81	80	80	78	76	76	76	74	70	68	65	58	56	56	51	37	34	32	29	29	29
4021	Pinal	Arizona	15	13	13	13	13	11	11	9	9	9	9	9	8	8	7	7	7	6	5	5	5	5	4	4	3
4023	SantaCruz	Arizona	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4025	Yavapai	Arizona	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4027	Yuma	Arizona	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
5001	Arkansas	Arkansas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
