State	X2020.05.05	X2020.05.04	X2020.05.03	X2020.05.02	X2020.05.01	X2020.04.30	X2020.04.29	X2020.04.28	X2020.04.27	X2020.04.26	X2020.04.25	X2020.04.24	X2020.04.23	X2020.04.22	X2020.04.21	X2020.04.20	X2020.04.19	X2020.04.18	X2020.04.17	X2020.04.16	X2020.04.15	X2020.04.14	X2020.04.13	X2020.04.12	X2020.04.11
Alabama	315	298	290	288	288	272	262	242	228	219	213	209	197	197	186	164	160	147	147	137	123	114	104	93	93
Arizona	395	362	362	353	330	320	308	297	277	277	275	268	257	236	213	191	188	181	174	152	142	131	122	117	112
Arkansas	83	80	76	72	64	61	59	57	51	50	48	47	45	44	43	42	39	38	37	37	34	32	30	27	25
California	2386	2297	2235	2213	2147	2057	1961	1884	1800	1716	1692	1619	1548	1425	1316	1223	1176	1146	1050	971	885	778	725	676	632
Colorado	901	849	840	830	818	775	764	734	705	678	670	670	557	526	484	448	421	409	389	374	355	329	308	290	274
Connecticut	2633	2556	2436	2436	2339	2257	2168	2089	2012	1925	1862	1764	1639	1544	1423	1331	1127	1086	1036	971	868	671	602	554	494
Delaware	187	182	177	168	159	152	144	137	125	120	112	100	92	89	82	72	67	67	61	52	46	43	41	35	33
DistrictofColumbia	264	258	251	240	231	224	205	190	185	178	165	153	139	127	112	105	96	91	86	81	72	67	52	50	47
Florida	1470	1398	1378	1363	1313	1267	1216	1170	1087	1073	1054	1045	986	926	866	822	773	747	725	667	613	570	498	460	445
Georgia	1277	1228	1168	1161	1153	1121	1086	1022	981	907	897	889	871	837	810	767	682	670	661	611	569	517	479	438	432
Idaho	66	64	64	64	63	63	60	60	58	56	56	54	54	54	51	48	45	44	43	41	41	39	33	27	27
Illinois	2843	2673	2632	2576	2464	2361	2221	2132	1992	1943	1884	1804	1696	1577	1479	1359	1302	1272	1142	1081	958	878	800	727	682
Indiana	1213	1151	1132	1115	1062	1007	964	901	844	813	785	741	706	661	630	569	562	545	519	477	436	387	350	343	330
Iowa	207	188	184	175	170	162	148	136	127	118	112	107	96	90	83	79	75	74	64	60	53	44	44	41	34
Kansas	160	154	142	140	136	133	132	127	126	120	119	117	112	111	107	101	94	86	84	80	76	69	63	56	55
Kentucky	278	267	255	252	248	240	235	231	216	211	208	203	194	185	172	155	149	145	140	131	124	115	106	98	94
Louisiana	2042	1991	1969	1950	1927	1862	1802	1758	1697	1670	1644	1601	1540	1473	1405	1328	1296	1267	1213	1156	1103	1013	884	840	806
Maine	61	57	57	56	55	53	52	51	51	50	50	47	44	39	36	35	34	32	29	27	24	20	19	19	19
Maryland	1290	1216	1182	1156	1098	1047	985	929	858	827	797	723	680	632	584	516	486	463	425	392	349	302	262	236	207
Massachusetts	4212	4090	4004	3846	3716	3562	3405	3153	3003	2899	2730	2556	2360	2182	1961	1809	1706	1560	1404	1245	1108	957	844	756	686
Michigan	4179	4135	4049	4020	3866	3788	3670	3566	3406	3314	3273	3084	2977	2812	2698	2466	2389	2307	2226	2091	1919	1766	1601	1486	1391
Minnesota	455	428	419	395	371	343	319	301	286	272	244	221	200	179	160	143	134	121	111	94	87	79	70	70	64
Mississippi	342	310	303	291	281	261	250	239	229	227	221	209	201	193	183	169	159	152	140	129	122	111	98	96	93
Missouri	408	387	378	373	355	341	331	324	296	282	280	267	248	236	221	201	196	194	184	170	164	151	136	116	116
Montana	16	16	16	16	16	16	16	15	14	14	14	14	14	14	12	12	10	10	8	7	7	7	7	6	6
