State	X2020.05.05	X2020.05.04	X2020.05.03	X2020.05.02	X2020.05.01	X2020.04.30	X2020.04.29	X2020.04.28	X2020.04.27	X2020.04.26	X2020.04.25	X2020.04.24	X2020.04.23	X2020.04.22	X2020.04.21	X2020.04.20	X2020.04.19	X2020.04.18	X2020.04.17	X2020.04.16	X2020.04.15	X2020.04.14	X2020.04.13	X2020.04.12	X2020.04.11
Alabama	8437	8112	7888	7611	7294	7068	6925	6750	6539	6421	6213	6026	5832	5610	5327	5078	4903	4723	4572	4404	4241	3953	3805	3583	3262
Arizona	9305	8919	8640	8364	7962	7648	7202	6948	6716	6526	6280	6045	5769	5459	5251	5064	4929	4719	4507	4234	3962	3806	3702	3539	3393
Arkansas	3525	3469	3431	3372	3310	3281	3207	3127	3069	3001	2909	2810	2599	2392	2262	1971	1781	1777	1695	1620	1599	1498	1475	1280	1228
California	58848	56333	55072	53753	52318	50470	48904	46570	45208	43691	42590	41368	39534	37573	35844	33862	31544	30829	29398	28142	27107	25758	24334	23323	22421
Colorado	17256	16799	16527	16118	15661	15207	14680	14239	13804	13441	12968	12255	11262	10878	10447	10106	9730	9433	9047	8675	8280	7941	7691	7303	6893
Connecticut	30621	29973	29287	29287	28764	27700	26767	26312	25997	25269	24582	23921	23100	22469	20360	19815	17962	17550	16809	15884	14755	13989	13381	12035	11510
Delaware	5371	5288	5208	5038	4918	4734	4655	4575	4162	4034	3576	3442	3308	3200	2931	2745	2538	2538	2323	2075	2014	1926	1761	1625	1479
DistrictofColumbia	5322	5170	5016	4797	4658	4323	4106	3994	3892	3841	3699	3528	3361	3206	3098	2927	2793	2666	2476	2350	2197	2058	1955	1875	1778
Florida	37431	36889	36070	35455	34720	33683	33185	32838	32130	31520	30831	30525	29640	28301	27861	27050	26306	25484	24745	23332	22526	21620	21011	19855	18978
Georgia	28876	28350	27618	27268	26436	25431	24300	23607	23229	22459	22225	21575	20905	20099	19189	18447	17619	17014	16658	15644	14583	13913	13125	12103	12103
Idaho	1960	1947	1906	1906	1883	1861	1831	1810	1785	1768	1760	1750	1721	1688	1659	1638	1581	1577	1566	1528	1507	1464	1453	1426	1407
Illinois	65889	63840	61499	58505	56055	52918	50355	48102	45883	43903	41777	39658	36935	35108	33059	31508	30357	29160	27575	25734	24593	23247	22025	20852	19180
Indiana	21033	20507	19933	19295	18630	17822	17168	16579	15961	15012	14395	13680	13039	12438	12097	11686	11210	10641	10154	9542	8955	8527	8236	7928	7435
Iowa	10111	9703	9169	8641	7884	7145	6843	6376	5868	5491	5109	4459	3939	3764	3641	3175	2915	2513	2332	2141	1995	1899	1710	1587	1510
Kansas	5603	5365	5156	4838	4486	4291	3799	3587	3393	3188	3081	2830	2615	2292	2115	2031	1898	1820	1731	1594	1502	1439	1383	1338	1283
Kentucky	5822	5363	5222	4881	4879	4708	4538	4375	4146	4074	3905	3779	3548	3373	3193	3050	2960	2707	2522	2429	2295	2210	2048	1963	1851
Louisiana	29996	29673	29340	29140	28711	28001	27660	27286	27068	26773	26512	26140	25739	25258	24854	24523	23928	23580	23118	22532	21951	21518	21016	20595	20014
Maine	1226	1205	1185	1152	1123	1095	1056	1040	1023	1015	990	965	937	907	888	875	867	847	827	796	770	734	698	633	616
Maryland	27117	26408	25462	24473	23472	21742	20849	20113	19487	18581	17766	16618	15737	14775	14193	13684	12830	12308	11572	10784	10032	9472	8936	8225	7694
Massachusetts	70271	69087	68087	66263	64311	62205	60265	58302	56462	54938	53348	50969	46023	42944	41199	39643	38077	36372	34402	32181	29918	28163	26867	25475	22860
Michigan	44333	43928	43736	43191	42348	41347	40360	39234	38190	37751	37184	36627	35252	33929	32935	31927	31348	30717	29952	29119	27893	26844	25487	24494	23853
